Date,Close,High,Low,Open,Volume,EMA_20,EMA_50,MACD,EMA_200,Is_bull_market,ADX,RSI,BB_upper,BB_lower,BB_width,ATR,ATR_pct,Volume_change,Return_lag1,Return_lag2,Return_lag3,Return_lag5,Price_EMA20_ratio,Price_EMA50_ratio,EMA_cross,Body_size,Upper_wick,Lower_wick,Is_green,Target_3R,Target_5R,SP500_return,DXY_return
2016-12-07,768.1320190429688,771.5430297851562,759.75,764.2109985351562,96426096,749.3749971551696,718.4819872303643,14.767423960310566,639.3474653625489,1,28.972524484059576,62.309320349798405,779.6706929737105,720.9973062938676,58.673386679842906,13.560692230386273,0.0176541166026145,-0.17029981586329135,0.005113710148497264,0.012431800031873053,-0.00741723458861776,-0.012612670147751803,1.0250302211296158,1.0691040731640296,30.893009924805256,3.9210205078125,3.4110107421875,4.46099853515625,1,0,0,0.013163241364864575,-0.0030794462146653823
2016-12-08,770.8099975585938,774.697998046875,765.9459838867188,768.0759887695312,80111904,751.4164257650195,720.5340660667655,14.714855990146475,640.655550260022,1,29.004549278300843,63.23394188204904,782.031028818556,720.5594680076158,61.47156081094022,13.217215225369843,0.01714717669365092,-0.16918855659156828,0.0034863518890431155,0.008617890230576686,0.01596149355044152,-0.0004474220165507914,1.0258093530146477,1.0697759257466803,30.88235969825405,2.7340087890625,3.88800048828125,2.1300048828125,1,0,0,0.0021593430473272335,0.008880414084931454
2016-12-09,772.7940063476562,774.5280151367188,769.6489868164062,769.9439697265625,68705296,753.4523858205088,722.5834754895455,14.664248099371662,641.9703607683567,1,29.03428658723916,63.93973932800347,784.5605124860707,720.1477821916636,64.41273029440708,12.621630446437177,0.016332464204903648,-0.14238343405244747,0.0025739271614879655,0.006069252666352831,0.011213999213803616,-0.0013929989930688835,1.0256706606696646,1.0694875160604709,30.868910330963217,2.85003662109375,1.7340087890625,0.29498291015625,1,0,0,0.005938984786955759,0.004209724473144494
2016-12-10,774.6500244140625,777.0919799804688,772.9099731445312,773.0230102539062,53843100,755.4712085437044,724.6253009375658,14.60554252529414,643.2905564265229,1,29.21775273504061,64.6239125973219,786.5682290760642,722.5024679454202,64.06576113064398,12.027083531178272,0.015525828635034818,-0.21631805501572976,0.0024016983195536135,0.004981807277579797,0.00848552749983611,0.021022817912752068,1.0253865609350334,1.0690352978453437,30.845907606138553,1.62701416015625,2.44195556640625,0.113037109375,1,0,0,0.005938984786955759,0.004209724473144494
2016-12-11,769.7310180664062,774.7979736328125,765.4119873046875,774.7520141601562,57313400,756.8292856411045,726.3941525896772,14.000703833821717,644.5486704726909,1,28.554103376046758,61.30415032542384,787.9301101780285,724.1888900661123,63.741220111916164,11.838433730960181,0.01537996189980596,0.06445208392533108,-0.006349972494194334,-0.003963524892909298,-0.0013997995557983867,0.0072060273558614,1.0170470840255246,1.0596602620247262,30.43513305142733,5.02099609375,0.04595947265625,4.31903076171875,0,1,0,0.005938984786955759,0.004209724473144494
2016-12-12,780.0869750976562,781.9219970703125,770.0399780273438,770.0399780273438,76571000,759.0443036845857,728.4997534723431,14.193391416114537,645.8973103197055,1,28.413873878839038,65.34087285044889,791.0212191296584,723.9717801379197,67.04943899173873,11.863615536170615,0.015208067708969826,0.3360051925029748,0.013453994691891902,0.00701858970146696,0.009437144556112331,0.015563673637225106,1.0277225865617123,1.0708129568739404,30.544550212242598,10.0469970703125,1.83502197265625,0.0,1,1,1,-0.0011374349205595102,-0.005716500254810186
2016-12-13,780.5560302734375,788.4600219726562,777.9619750976562,780.64697265625,81645600,761.0930395501906,730.5411760919939,14.22002692719127,647.2371980804392,1,28.682189627122884,65.51634016893621,793.7502519135365,724.8389509673228,68.91130094621371,11.76607491751557,0.015073965815617084,0.06627313212573949,0.0006012857421731077,0.014063370129248742,0.007624095621557858,0.012643884674190309,1.02557241981184,1.0684627449050805,30.55186345819675,0.0909423828125,7.81304931640625,2.59405517578125,0,1,1,0.006539774750587091,0.0011499783148447573
2016-12-14,781.4810180664062,782.0339965820312,776.8389892578125,780.0050048828125,75979000,763.0347517898302,732.5388169537356,14.15263181619548,648.5729574832847,1,28.800454054688164,65.88315278203288,795.9506621621988,726.7577423788168,69.19291978338197,11.296712946565798,0.01445551802974933,-0.06940484239199662,0.0011850370211665684,0.0017870353092044322,0.015265072764660603,0.011241044375856601,1.0241748704542055,1.0668117511044628,30.495934836094648,1.47601318359375,0.552978515625,3.166015625,1,1,1,-0.00811717185395111,0.009571154215798128
2016-12-15,778.0880126953125,781.4349975585938,777.802001953125,780.0700073242188,81580096,764.4683956855905,734.3250599239935,13.667878730214625,649.8616645003198,1,28.910271023141636,63.2263327906709,797.237031541882,729.1152755870245,68.12175595485746,10.75259174418833,0.013819248682345247,0.07371900130299158,-0.004341763002112309,-0.0031618711308404324,-0.0025624865766967764,0.004438118082872977,1.0178158012634488,1.0595961586492073,30.143335761596973,1.98199462890625,1.364990234375,0.2860107421875,0,1,1,0.0038832279549072535,0.010997323765499223
2016-12-16,784.906982421875,785.031982421875,778.9630126953125,778.9630126953125,83608200,766.4149277557128,736.308664727832,13.676290521605438,651.2053990070019,1,29.255957323932282,66.17824098175302,798.3801787655555,732.9246247012416,65.4555540643139,10.480547314357914,0.013352597886210148,0.02486027964468196,0.008763751163498146,0.004383938030824375,0.005574170180856042,0.01971593192852139,1.0241279938535544,1.0660026426716123,30.1062630278808,5.9439697265625,0.125,0.0,1,1,1,-0.0017506226204834219,-0.0033759171048779457
2016-12-17,790.8289794921875,792.5089721679688,784.864013671875,785.166015625,78989800,768.740075540139,738.4467162872186,13.999435816519508,652.5946883650635,1,30.044534814354854,68.54011710356163,799.0919791982909,738.0922249032716,60.99975429501933,10.278005255910474,0.01299649547808713,-0.05523860099846667,0.0075448393286550175,0.01637471158659798,0.011961853467548744,0.01377026503126344,1.028733904547032,1.0709357385571945,30.293359252920368,5.6629638671875,1.67999267578125,0.302001953125,1,1,1,-0.0017506226204834219,-0.0033759171048779457
2016-12-18,790.530029296875,794.7369995117188,788.0260009765625,791.0079956054688,60524400,770.8153092312567,740.4891991503424,14.069226720697657,653.9671793196089,1,30.90785330190145,68.28089295695665,799.1459964369601,743.5099117661648,55.6360846707953,10.023219061570886,0.01267911235514467,-0.2337694233939066,-0.00037802129545694285,0.007163965923261184,0.015990500301454436,0.012778069269343106,1.0255764511025085,1.0675780689359828,30.326110080914304,0.47796630859375,3.72900390625,2.5040283203125,0,1,1,-0.0017506226204834219,-0.0033759171048779457
2016-12-19,792.7139892578125,793.6110229492188,790.3200073242188,790.6920166015625,74886400,772.9008978052144,742.5372301349491,14.137792164208804,655.3477445926259,1,31.70950618319472,69.19742601639041,797.9978271261402,750.3690796121409,47.628747513999315,9.542347387530109,0.01203756653325147,0.2372927282220063,0.002762652751951755,0.002383587114922703,0.009946410225385671,0.014373952702267268,1.02563471139555,1.0675747384595708,30.363667670265272,2.02197265625,0.89703369140625,0.37200927734375,1,1,1,0.001975120701520394,0.003011065953094194
2016-12-20,800.8759765625,801.3369750976562,791.4970092773438,792.2470092773438,99629296,775.565191020194,744.8250241125002,14.681495790533518,656.7957867017789,1,32.90860149685675,72.40643492682638,799.6177133220556,754.267693172085,45.35002014997053,9.563605847014566,0.01194143179080391,0.33040573455260236,0.010296257433692224,0.013087355169577819,0.012704386575165705,0.0292871288278167,1.0326352779048937,1.0752538524290154,30.740166907693833,8.62896728515625,0.46099853515625,0.75,1,1,1,0.0036375121488696482,0.0018760417694727582
2016-12-21,834.281005859375,834.281005859375,799.405029296875,800.6439819335938,155576000,781.1571733858302,748.333101828064,17.604952583666545,658.561808782949,1,35.25670290696857,81.08969861435187,813.3361570537718,748.2999513446657,65.03620570910607,11.371632326692097,0.013630458139195466,0.561548723580261,0.041710614719965955,0.052436335380532606,0.05534385151872545,0.06290429890832883,1.0680065859771677,1.1148524685348722,32.824071557766274,33.63702392578125,0.0,1.23895263671875,1,1,1,-0.0024573614565177593,-0.0029962342485847504
2016-12-22,864.5399780273438,875.781982421875,834.1489868164062,834.1799926757812,200027008,789.0983928754982,752.8902342280358,22.108605086458624,660.6113428052813,1,38.201758669739846,85.53123822268378,834.6696415223857,735.62606770613,99.04357381625573,13.533158275176143,0.015653594534812958,0.28571892836941437,0.03626952064766198,0.07949295936944045,0.09060769677696645,0.09320725523043949,1.0956047887474896,1.1482948492668208,36.20815864746248,30.3599853515625,11.24200439453125,0.031005859375,1,1,1,-0.0018629737285675851,0.0011270824243669875
2016-12-23,921.9840087890624,925.1170043945312,864.677001953125,864.8880004882812,275564000,801.7541658196473,759.5213626421937,29.967587648424796,663.212065849896,1,41.41675274798869,90.22504547805188,870.8790861014478,714.4995210762867,156.37956502516113,16.89343456746267,0.018322914938243427,0.3776339643094597,0.06644462051690314,0.10512405570032901,0.1512194594054117,0.16628587734877964,1.1499584886428398,1.213901351743024,42.23280317745355,57.096008300781136,3.1329956054688637,0.21099853515625,1,0,0,0.0012517152775348706,-0.0007505709170860797
2016-12-24,898.822021484375,923.47900390625,886.3350219726562,922.1799926757812,137727008,810.9987235020022,764.9841335771812,33.93571929918187,665.5564435179008,1,44.4021043920769,79.08462592281046,889.7451482276537,708.128460170784,181.61668805686963,18.33990223647203,0.02040437572522343,-0.5001995616263373,-0.025121897000261906,0.03965350860379413,0.0773612430005135,0.13385411846447592,1.1082903035939933,1.1749551161033205,46.01458992482105,23.35797119140625,1.29901123046875,12.48699951171875,0,0,0,0.0012517152775348706,-0.0007505709170860797
2016-12-25,896.1829833984375,899.6519775390625,862.4240112304688,899.6519775390625,143664992,819.1115101588056,770.1291865113482,36.44740095261557,667.8512349594982,1,45.36187894008229,77.90433093889823,904.2856136302186,707.3362918873596,196.94932174285896,19.68904967019501,0.021969899043978364,0.043114158117774526,-0.002936107508335395,-0.02798424391819121,0.036600974131115294,0.11900345325004236,1.0940915519850156,1.1636787685688261,48.982323647457406,3.468994140625,0.0,33.75897216796875,0,1,1,0.0012517152775348706,-0.0007505709170860797
2016-12-26,907.6099853515624,913.1840209960938,896.8980102539062,896.905029296875,123771000,827.5399363676396,775.520590387435,38.9114434186306,670.2368941673795,1,46.48749748408496,79.34199743166677,919.2743532358339,706.6861509145566,212.58820232127732,19.497048807870815,0.02148174780196875,-0.13847487632895283,0.012750746404257995,0.009777201333668106,-0.015590317511448903,0.08789482078242061,1.0967567188785814,1.170323517649142,52.01934598020455,10.704956054687386,5.574035644531364,0.00701904296875,1,1,1,0.0012517152775348706,-0.0007505709170860797
2016-12-27,933.197998046875,940.0479736328124,904.2550048828124,908.35400390625,167308000,837.6026089085192,781.7040181387856,42.439734757514884,672.8534225641905,1,47.92890816772853,82.14375230058516,937.9844548122912,704.48264723849,233.50180757380122,20.66104308945147,0.022140042234010084,0.3517544497499414,0.02819274039322206,0.04130296528067512,0.038245587825862515,0.07941566817556667,1.1141297652629405,1.19379966891918,55.89859076973357,24.843994140625,6.849975585937386,4.098999023437614,1,1,1,0.0022483727122095676,-0.00037552448038080666
2016-12-28,975.9210205078124,975.9210205078124,934.8309936523438,934.8309936523438,236630000,850.7757909655948,789.3203711728651,48.12852623349602,675.8690205536793,1,49.672678719698055,85.6445610138356,964.493515376576,698.484688969127,266.0088264074491,22.236898758843324,0.022785551588255102,0.41433762880436076,0.045781305307506015,0.07526474615612533,0.08897517425180101,0.058501027354683766,1.1470954285149357,1.236406731854233,61.455419792729685,41.090026855468636,0.0,0.0,1,0,0,-0.008356529175972627,0.0026294873271628383
2016-12-29,973.4970092773438,979.39697265625,954.5029907226562,975.125,199320000,862.4635260429042,796.5429844318643,51.843714941495136,678.8304930782929,1,51.32637628417317,84.63073453177927,985.6991262617217,697.3493783769503,288.34974788477143,22.42669041418264,0.02303724634021285,-0.15767231542915094,-0.0024838190586440323,0.043183773770209655,0.07259398308653475,0.08308095040845287,1.1287399175520798,1.2221525119221184,65.92054161103988,1.62799072265625,4.27197265625,18.9940185546875,0,0,0,-0.000293304709629405,-0.005619948391633378
2016-12-30,961.2379760742188,972.5349731445312,934.8330078125,972.5349731445312,187474000,871.870616522077,803.0016115550939,53.18573518436199,681.64051778472,1,51.675123878463815,79.50490627803018,1000.838795078746,700.8685047259414,299.97029035280457,23.58649834637272,0.02453762640829285,-0.059432069034718094,-0.012592779521968134,-0.015045320394834194,0.03004719050622673,0.07259119385316226,1.1025007126729782,1.1970560983217509,68.86900496698308,11.2969970703125,0.0,26.40496826171875,0,1,1,-0.004637050227782158,-0.003014383357300421
2016-12-31,963.7429809570312,963.7429809570312,947.2360229492188,960.6270141601562,99135104,880.6203655158821,809.3051946688953,53.83089975065741,684.4475074680266,1,51.998960930305124,79.77447701101009,1013.5144564997776,707.5940395939725,305.92041690580504,23.08081689361842,0.023949141368270557,-0.47120611924853584,0.0026060194719346175,-0.010019577078673514,-0.01247850932080996,0.06184704499887772,1.0943909756078087,1.190827622639096,71.3151708469868,3.115966796875,0.0,13.3909912109375,1,1,1,-0.004637050227782158,-0.003014383357300421
